Times,Euclidean Distance [m],Mahalanobis Distance [m],Pc
764402400.8969897,4443.491282914789,104.86773951154038,1.6190858e-07
764402400.8970897,4443.986351836483,106.89715246487253,1.61765549e-07
764402400.8971897,4444.481420759711,105.38715732717272,1.61617655e-07
764402400.8972898,4444.97648968447,103.86810293730824,1.61469686e-07
764402400.8973898,4445.471558610762,107.71950525279935,1.61327862e-07
764402400.8974898,4445.966627538586,103.18564287882504,1.6118139e-07
764402400.8975898,4446.461696467941,100.47892430225428,1.61039968e-07
764402400.8976898,4446.956765398825,107.62628183095505,1.60892914e-07
764402400.8977898,4447.45183433124,92.86745935151403,1.6073813e-07
764402400.8978899,4447.946903265662,101.55139589857069,1.60598905e-07
764402400.8979899,4448.441972202498,102.52639033904752,1.60451062e-07
764402400.8980899,4448.937041139976,103.8160835181618,1.60306785e-07
764402400.8981899,4449.432110078982,106.4025327072649,1.60169116e-07
764402400.8982899,4449.927179019515,108.80208297543041,1.60022605e-07
764402400.8983899,4450.422247961099,107.58824587510954,1.59873235e-07
764402400.89849,4450.917316904209,99.71706900783448,1.59727599e-07
764402400.89859,4451.412385848845,100.43551827235163,1.59582632e-07
764402400.89869,4451.907454795892,100.8247187489187,1.59438388e-07
764402400.89879,4452.402523743577,102.43535882852328,1.59297733e-07
764402400.89889,4452.897592692788,104.47891459189246,1.591513e-07
764402400.89899,4453.392661643522,104.30459270471698,1.59004125e-07
764402400.89909,4453.887730595779,96.38195773633247,1.58856313e-07
764402400.8991901,4454.382799550036,106.65985654899507,1.58721576e-07
764402400.8992901,4454.877868504775,105.60177959656586,1.58579173e-07
764402400.8993901,4455.372937461921,97.59818145426424,1.5842221e-07
764402400.8994901,4455.8680064197015,98.44512173794337,1.58283058e-07
764402400.8995901,4456.363075379003,99.40722232242051,1.58137915e-07
764402400.8996902,4456.858144339824,99.20348910689384,1.57990635e-07
764402400.8997902,4457.353213302731,99.26178153521045,1.57852392e-07
764402400.8998902,4457.848282267156,101.77348025575702,1.57710208e-07
764402400.8999902,4458.3433512331,101.83938756729616,1.57571702e-07
764402400.9000902,4458.838420200563,99.95651122218034,1.57426661e-07
764402400.9001902,4459.333489169543,100.10521242595675,1.57281955e-07
764402400.9002903,4459.8285581400405,103.60347152392208,1.57146194e-07
764402400.9003903,4460.323627112054,100.03812608345683,1.57003453e-07
764402400.9004903,4460.818696086061,101.20866373468321,1.56854113e-07
764402400.9005903,4461.3137650615845,102.23868724501706,1.56713566e-07
764402400.9006903,4461.808834039508,102.35124275402302,1.56572551e-07
764402400.9007903,4462.303903018061,103.74529557504466,1.56429918e-07
764402400.9008904,4462.798971998128,96.78673207989499,1.5628719e-07
764402400.9009904,4463.294040979708,106.24965328133472,1.56152088e-07
764402400.9010904,4463.789109962326,103.18336921178921,1.56004971e-07
764402400.9011904,4464.284178946455,104.05344582177624,1.55867494e-07
764402400.9012904,4464.779247932096,109.81361141210265,1.55727255e-07
764402400.9013904,4465.274316920136,104.24628496429898,1.55583038e-07
764402400.9014904,4465.7693859088,107.84236398301763,1.55439652e-07
764402400.9015905,4466.264454898976,101.93280935864198,1.55299205e-07
764402400.9016905,4466.759523890661,100.32513212634082,1.55160326e-07
764402400.9017905,4467.254592883856,105.17367416630695,1.55017343e-07
764402400.9018905,4467.749661879037,103.23814263781126,1.54878215e-07
764402400.9019905,4468.244730875727,104.15987176709244,1.54734397e-07
764402400.9020905,4468.739799873925,106.09889235504703,1.5459559e-07
764402400.9021906,4469.23486887363,104.08253511266537,1.54457771e-07
764402400.9022906,4469.729937874843,109.62653000529775,1.54317398e-07
764402400.9023906,4470.225006877085,109.71140286569579,1.54176417e-07
764402400.9024906,4470.720075880834,99.95885246689177,1.54032557e-07
764402400.9025906,4471.215144886089,107.25446514078287,1.53895938e-07
764402400.9026906,4471.710213892848,105.5068682200366,1.5375193e-07
764402400.9027907,4472.20528290007,100.15328491919648,1.53610035e-07
764402400.9028907,4472.7003519087975,97.95442188472462,1.53477123e-07
764402400.9029907,4473.195420919028,97.77296835841688,1.53330312e-07
764402400.9030907,4473.690489930762,104.28701762522755,1.53196494e-07
764402400.9031907,4474.185558944475,100.72875940272372,1.53054437e-07
764402400.9032907,4474.68062795969,98.06269226940603,1.52913202e-07
764402400.9033908,4475.175696977449,99.17889163364987,1.52774085e-07
764402400.9034908,4475.670765996708,102.98855997040886,1.52634687e-07
764402400.9035908,4476.165835017468,104.22338455659444,1.52497957e-07
764402400.9036908,4476.660904039728,95.60410210135909,1.52357106e-07
764402400.9037908,4477.155973063012,96.64811295794543,1.52210893e-07
764402400.9038908,4477.651042087794,100.72918261758745,1.52078563e-07
764402400.9039909,4478.146111114075,107.92934021265069,1.51946413e-07
764402400.9040909,4478.64118014274,106.1777566070256,1.51806043e-07
764402400.9041909,4479.136249172017,99.98745535702574,1.51662563e-07
764402400.9042909,4479.631318202792,102.85137400662136,1.51532854e-07
764402400.9043909,4480.126387235062,109.25342558717298,1.51395085e-07
764402400.904491,4480.621456269306,100.58258085890594,1.51254036e-07
764402400.904591,4481.116525305046,102.10686094710587,1.51116804e-07
764402400.904691,4481.61159434228,108.85946686673121,1.50985873e-07
764402400.904791,4482.10666338101,101.83831041191836,1.50844268e-07
764402400.904891,4482.601732421233,105.88412261757719,1.50709277e-07
764402400.904991,4483.09680146295,108.80335102369023,1.5056937e-07
764402400.905091,4483.591870505684,107.70929655734199,1.5043428e-07
764402400.9051911,4484.08693954991,105.05771743814664,1.50295306e-07
764402400.9052911,4484.582008595628,96.10382612948725,1.50157715e-07
764402400.9053911,4485.077077642839,106.39639045014711,1.50018501e-07
764402400.9054911,4485.572146691541,101.9025781818256,1.49883444e-07
764402400.9055911,4486.067215741733,101.74558133184667,1.49748155e-07
764402400.9056911,4486.5622847934155,101.41740106798615,1.49612185e-07
764402400.9057912,4487.057353846588,102.88812129318538,1.49471832e-07
764402400.9058912,4487.5524229017265,107.81919806772517,1.49339667e-07
764402400.9059912,4488.047491958353,99.95549590558728,1.49197571e-07
764402400.9060912,4488.542561016468,100.56011303506521,1.49061994e-07
764402400.9061912,4489.037630076072,101.1671132308247,1.48926094e-07
764402400.9062912,4489.532699137163,100.88189509894993,1.48787666e-07
764402400.9063913,4490.027768198698,100.6634241724582,1.48652747e-07
764402400.9064913,4490.522837261244,104.16664332265395,1.48520974e-07
764402400.9065913,4491.017906325275,98.32027720626066,1.48379437e-07
764402400.9066913,4491.512975390792,104.5966999551697,1.48248657e-07
764402400.9067913,4492.008044457793,100.05968005152951,1.48107228e-07
764402400.9068913,4492.50311352732,99.64932101210928,1.47972549e-07
764402400.9069914,4492.998182598331,90.17295238681417,1.47832332e-07
764402400.9070914,4493.493251670826,93.47738699245649,1.47702617e-07
764402400.9071914,4493.98832074528,101.6528689291906,1.47572735e-07
764402400.9072914,4494.483389821216,105.03510264436429,1.47436751e-07
764402400.9073914,4494.978458898635,100.69788097701196,1.47300895e-07
764402400.9074914,4495.473527977535,103.66298452294964,1.47168678e-07
764402400.9075915,4495.968597057915,102.00069011435997,1.47035951e-07
764402400.9076915,4496.463666139776,103.24241069638363,1.46898478e-07
764402400.9077915,4496.958735222641,105.12862112562256,1.46766761e-07
764402400.9078915,4497.453804306985,105.31919004604465,1.46634485e-07
764402400.9079915,4497.948873392807,102.57942667940392,1.46497715e-07
764402400.9080915,4498.4439424801085,102.81001971341674,1.46364478e-07
764402400.9081916,4498.9390115688875,98.16386731286713,1.46230572e-07
764402400.9082916,4499.4340806591445,103.6026395595335,1.46101766e-07
764402400.9083916,4499.929149750878,104.42069554229839,1.4596376e-07
764402400.9084916,4500.4242188440885,99.7790835970977,1.45825791e-07
764402400.9085916,4500.919287939251,105.37765445419772,1.45700234e-07
764402400.9086916,4501.414357035889,110.25884183771403,1.45564814e-07
764402400.9087917,4501.909426134003,106.10629311549286,1.45432541e-07
764402400.9088917,4502.404495233592,103.4423827042009,1.45297907e-07
764402400.9089917,4502.899564334653,108.18056592136861,1.45166848e-07
764402400.9090917,4503.394633436713,103.43429026661163,1.45029207e-07
764402400.9091917,4503.889702540245,103.1654800165848,1.44895557e-07
764402400.9092917,4504.384771645249,99.87419383253742,1.44762565e-07
764402400.9093918,4504.879840751727,102.37180843425475,1.44632107e-07
764402400.9094918,4505.374909859675,102.8147288630202,1.44499494e-07
764402400.9095918,4505.869978969095,100.44021615898495,1.44361997e-07
764402400.9096918,4506.365048079986,103.69144261671563,1.44233749e-07
764402400.9097918,4506.8601171923465,92.97076183713965,1.44096735e-07
764402400.9098918,4507.355186305612,102.07645569176678,1.4396783e-07
764402400.9099919,4507.850255420347,101.66160341494677,1.43836497e-07
764402400.9100919,4508.345324536551,101.76523635955817,1.43704688e-07
764402400.9101919,4508.840393654223,105.17680041139906,1.43574417e-07
764402400.9102919,4509.335462773362,98.45567085398861,1.43438925e-07
764402400.9103919,4509.830531895011,108.94964709194963,1.43313203e-07
764402400.910492,4510.325601017649,103.08371575881583,1.43178588e-07
764402400.910592,4510.820670141755,105.60289402733667,1.43048319e-07
764402400.910692,4511.315739267326,102.54043716375885,1.42913865e-07
764402400.910792,4511.810808394362,103.59645280072994,1.42785828e-07
764402400.910892,4512.305877522863,102.54004332606081,1.42655571e-07
764402400.910992,4512.800946652828,101.68561256482747,1.42527298e-07
